artistid,artistname
/artist/834917,BLISS
/artist/239651483,BRKLYN
/artist/239994374,Baby Christmas
/artist/232795387,Baby Jane
/artist/239816336,Baby Rockstar
/artist/211761983,Bach
/artist/239822972,Backroom Barn
/artist/11732,Backstreet Boys
/artist/239589196,Backtrack Blues Band
/artist/239752066,Backtrack Professional Karaoke Band
/artist/87998421,Bad Boys Blue
/artist/1365442,Bad Meets Evil
/artist/9511,Badfinger
/artist/232869832,Baggio
/artist/689794,Baha Men
/artist/340585307,Bailout
/artist/87997799,Balkan Beat Box
/artist/49144,Bandari
/artist/87998458,Baracuda
/artist/232681251,Barbara Mendes
/artist/239679293,Barbara Mindless
/artist/224031,Barry White
/artist/239593195,Beata Hlavenková
/artist/87932655,Bedouin Soundclash
/artist/11718,Bee Gees
/artist/340508113,Beeman
/artist/223883,Beenie Man
/artist/4820,Belinda Carlisle
/artist/239997595,Ben Danaher
/artist/331245,Ben E. King
/artist/239675341,Ben Margulies
/artist/87763994,Ben Pearce
/artist/234940,Ben Webster
/artist/239619428,Benny Aims
/artist/6269,Benny Carter
/artist/239657284,Benny T
/artist/232952066,Bentham
/artist/239883355,Benton Blount
/artist/87972699,Berlin
/artist/71221,Berliner Philharmoniker
/artist/232727875,Bernon
/artist/674522,Bert Kaempfert
/artist/100069,Bert Weedon
/artist/87998651,Bertie Higgins
/artist/239639801,Best Lounge Chillout
/artist/70753,Beth Carvalho
/artist/232673157,Biboulakis
/artist/232878456,Big Little Lions
/artist/3622123,Big Sean
/artist/708528,Big Star
/artist/70810,BigBang
/artist/239606059,Bill Boyd
/artist/87942491,Bill Carter
/artist/70789,Bill Evans
/artist/707644,Bill Evans Trio
/artist/239812896,Bill Knight
/artist/239620744,Bill Shepherd
/artist/239580363,Billie Eilish
/artist/233460,Billie Holiday
/artist/37389327,Billy Gilman
/artist/233433,Billy Joel
/artist/10053,Billy Mclaughlin
/artist/71325,Billy Squier
/artist/249543,Billy Taylor
/artist/87998850,Billy Vaughn
/artist/232899413,Billy Vaughn & His Orchestra
/artist/232640206,Billy Vaughn And His Orchestra
/artist/239707669,Billy Vaughn Orchestra
/artist/232711044,Bing
/artist/233324,Bing Crosby
/artist/340120685,Bingo冰果女团
/artist/233247,Birdman
/artist/87998867,Bizzy Bone
/artist/87995612,Bjorn Lynne
/artist/808032,Black Box
/artist/233015,Blackstreet
/artist/239691700,Blake Morgan
/artist/14720714,Blank & Jones
/artist/2810,Blondie
/artist/232890160,Bloo
/artist/87998949,Bloomfield
/artist/1632,Blue
/artist/9089,Blue Foundation
/artist/9087,Bob Baldwin
/artist/11719,Bob Dylan
/artist/239631084,Bob Enos
/artist/449314,Bob Forrest
/artist/232678551,Bob Rowe
/artist/1733377,Bob Sinclar
/artist/99296,Bobby Bare
/artist/239624577,Bobby Bond
/artist/690197,Bobby Caldwell
/artist/6274,Bobby Darin
/artist/603170,Bobby Durham
/artist/232667820,Bobby Durham Trio
/artist/87998977,Bobby Helms
/artist/9103,Bobby Vee
/artist/9102,Bobby Vinton
/artist/92453870,Bombs Away
/artist/240048827,Bonelli
/artist/222833,Boney James
/artist/340613787,BongBong乐团
/artist/87964339,Bossasonic
/artist/819113,Boston
/artist/239577001,Bradlee Hedrick
/artist/232761557,Brambles
/artist/708263,Bread
/artist/239782708,Breakheart Boys
/artist/9069,Brenda Lee
/artist/94245,Brennan Heart
/artist/87999062,Brett Anderson
/artist/87962886,Brian Bromberg
/artist/9067,Brian Hyland
/artist/9066,Brian Kennedy
/artist/9064,Brian McKnight
/artist/232801390,Brian Tarquin
/artist/201170,Brian Tyler
/artist/10266,Brigitte Bardot
/artist/11720,Britney Spears
/artist/239761848,Broadway Allstars
/artist/232836355,Bruce Kurnow
/artist/97567,Bruckner
/artist/96394,Bruno Mars
/artist/239766721,Bruno Mars Cover Band
/artist/239875380,Bryan Steele
/artist/35072,Buck Clayton
/artist/98071,Buck Owens
/artist/239639802,Buddha Lounge DJs
/artist/239703985,Buddy Blues
/artist/240038504,Buddy Cooner
/artist/172370,Buddy Holly
/artist/88026055,Bullet
/artist/809700,Burl Ives
/artist/239998033,Burnell Pines
/artist/232833680,Burning Brains
/artist/36966190,baroque
/artist/232937283,big bang
/artist/87974937,brown feather sparrow
/artist/232950401,不优雅（biuya）
